measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Global,Both,All ages,Ovarian cancer,Number,1997,687121.9986551234,760119.8206290515,636326.1065880765
Prevalence,Global,Both,All ages,Testicular cancer,Number,1997,435170.30990618624,522259.56343873095,345147.2846131126
Prevalence,Global,Both,All ages,Kidney cancer,Number,1997,880000.1432732618,901361.1125417247,859722.6793205832
Prevalence,Global,Both,All ages,Bladder cancer,Number,1997,1409547.1922615936,1441862.0574327507,1373298.2537135254
Prevalence,Global,Both,All ages,Brain and central nervous system cancer,Number,1997,528355.1805419553,618505.31773178,444697.8353201912
Prevalence,Global,Both,All ages,Thyroid cancer,Number,1997,858171.1030947559,897733.265936175,792062.7883695974
Prevalence,Global,Both,All ages,Esophageal cancer,Number,1998,614374.3651806195,656271.9815985413,466927.623440297
Prevalence,Global,Both,All ages,Stomach cancer,Number,1998,1624791.7321207132,1685762.6061643222,1566183.1278811644
Prevalence,Global,Both,All ages,Liver cancer,Number,1998,587885.6804935412,616603.2452369811,561926.8699958227
Prevalence,Global,Both,All ages,Larynx cancer,Number,1998,775998.0160985125,806447.6512791808,747081.7133372287
Prevalence,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1998,1719077.572987834,1760908.1977046495,1669778.4868297565
Prevalence,Global,Both,All ages,Breast cancer,Number,1998,10709326.7440521,11204909.674324522,10293235.63458305
Prevalence,Global,Both,All ages,Cervical cancer,Number,1998,1835335.399653306,2126232.1467715357,1661659.6664644713
Prevalence,Global,Both,All ages,Uterine cancer,Number,1998,1558451.8867059378,1616698.228316246,1447020.2302872632
Prevalence,Global,Both,All ages,Prostate cancer,Number,1998,5214684.455830375,6089986.642840834,4165664.0027773785
Prevalence,Global,Both,All ages,Colon and rectum cancer,Number,1998,5258742.292208048,5376248.22028258,5111688.175781083
Prevalence,Global,Both,All ages,Lip and oral cavity cancer,Number,1998,775910.9998759315,799068.1320041136,752552.7928390279
Prevalence,Global,Both,All ages,Nasopharynx cancer,Number,1998,339733.3542414583,361553.47489147825,320204.4113438455
Prevalence,Global,Both,All ages,Other pharynx cancer,Number,1998,111396.46683923493,114316.70255679933,108500.01252026738
Prevalence,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,1998,154021.60054221036,169223.86074356287,138484.9021832306
Prevalence,Global,Both,All ages,Pancreatic cancer,Number,1998,205814.5936093392,210916.7937969879,199012.17635669146
Prevalence,Global,Both,All ages,Esophageal cancer,Number,2001,699423.2715317841,755961.0555670942,507850.88075463806
Prevalence,Global,Both,All ages,Stomach cancer,Number,2001,1756194.749863978,1833748.9826644978,1678316.296390941
Prevalence,Global,Both,All ages,Liver cancer,Number,2001,590761.9340446448,617865.5632161205,565142.2722327777
Prevalence,Global,Both,All ages,Larynx cancer,Number,2001,802669.6216044483,833083.4699999267,772969.096392883
Prevalence,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2001,1877562.08934382,1933367.5827453854,1816655.9620398975
Prevalence,Global,Both,All ages,Breast cancer,Number,2001,11612353.511655811,12127588.409330528,11185824.098411474
